datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-10-01 09:15:00,606.95,606.95,573.8,588.15,5325,8.77,25425,24655.3,24600.0
2025-10-01 09:30:00,588.15,598.7,556.25,576.0,1950,8.79,4500,24682.45,24650.0
2025-10-01 09:45:00,576.0,604.5,576.0,604.5,600,8.81,26550,24673.8,24600.0
2025-10-01 10:00:00,576.0,602.05,563.5,588.0,3825,8.63,29175,24659.95,24600.0
2025-10-01 10:15:00,584.0,586.35,575.0,585.4,1050,8.45,29625,24663.45,24600.0
2025-10-01 10:30:00,589.3,600.0,552.1,588.05,900,8.58,31275,24662.75,24600.0
2025-10-01 10:45:00,588.05,588.3,557.0,557.0,2625,8.29,4575,24681.2,24650.0
2025-10-01 11:00:00,557.0,577.4,557.0,577.4,1275,8.41,4200,24702.2,24650.0
2025-10-01 11:15:00,593.1,596.15,562.75,593.65,1125,8.45,4200,24723.75,24650.0
2025-10-01 11:30:00,566.0,593.8,529.35,529.35,5850,7.48,3675,24776.0,24750.0
2025-10-01 11:45:00,529.35,605.05,529.35,589.75,300,8.91,3750,24794.3,24750.0
2025-10-01 12:00:00,589.75,589.75,585.9,585.9,75,8.61,3825,24803.35,24750.0
2025-10-01 12:15:00,585.9,612.6,585.9,585.9,225,9.13,3825,24777.2,24750.0
2025-10-01 12:30:00,585.9,608.15,585.9,595.0,2325,8.77,49050,24760.95,24700.0
2025-10-01 12:45:00,595.0,598.9,590.0,590.0,1500,8.76,50550,24753.5,24700.0
2025-10-01 13:00:00,585.0,586.8,584.85,586.4,450,8.3,50850,24770.7,24700.0
2025-10-01 13:15:00,586.4,597.5,551.75,551.75,1200,7.94,3675,24787.1,24750.0
2025-10-01 13:30:00,551.75,576.6,551.75,576.6,450,8.81,3375,24781.4,24750.0
2025-10-01 13:45:00,576.6,605.1,576.6,576.6,750,8.72,3375,24783.9,24750.0
2025-10-01 14:00:00,576.6,576.6,576.6,576.6,0,8.54,3375,24795.2,24750.0
2025-10-01 14:15:00,576.6,576.6,559.65,560.95,675,8.43,81225,24826.15,24800.0
2025-10-01 14:30:00,560.95,576.6,560.95,571.9,5025,8.27,82050,24849.3,24800.0
2025-10-01 14:45:00,573.9,596.0,562.0,562.75,3150,8.27,83250,24835.35,24800.0
