datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-08-01 09:15:00,429.4,433.45,422.05,423.1,2925,13.3,59475,24686.9,25000.0
2025-08-01 09:30:00,423.1,440.15,403.4,411.6,375,13.38,3450,24709.0,24850.0
2025-08-01 09:45:00,411.6,411.6,411.6,411.6,0,13.26,3450,24696.9,24850.0
2025-08-01 10:00:00,411.6,430.0,411.6,414.05,525,13.3,61650,24745.65,24900.0
2025-08-01 10:15:00,414.05,416.95,399.1,406.05,7725,13.29,64875,24764.45,24900.0
2025-08-01 10:30:00,407.0,428.45,402.0,404.4,3825,13.3,68025,24769.45,24900.0
2025-08-01 10:45:00,403.0,420.0,403.0,411.55,1575,13.22,68625,24743.4,24900.0
2025-08-01 11:00:00,413.75,413.75,403.55,403.55,450,13.21,4500,24710.25,24850.0
2025-08-01 11:15:00,403.55,403.55,397.0,403.55,75,13.03,4500,24692.7,24850.0
2025-08-01 11:30:00,403.55,428.55,403.0,421.2,3600,13.53,170100,24646.85,24800.0
2025-08-01 11:45:00,416.95,416.95,407.25,410.8,3150,13.38,169275,24659.4,24800.0
2025-08-01 12:00:00,410.8,421.0,410.8,414.5,1200,13.43,169350,24654.05,24800.0
2025-08-01 12:15:00,415.5,416.0,410.0,411.0,1200,13.46,169875,24664.75,24800.0
2025-08-01 12:30:00,411.0,438.45,400.0,430.4,1500,13.65,170100,24635.45,24800.0
2025-08-01 12:45:00,425.5,427.0,417.3,421.35,1500,13.52,170250,24644.8,24800.0
2025-08-01 13:00:00,423.05,428.5,415.1,421.05,2400,13.62,170250,24655.4,24800.0
2025-08-01 13:15:00,421.05,443.25,420.0,430.05,525,13.6,4950,24683.75,24850.0
2025-08-01 13:30:00,430.05,430.05,397.65,413.35,750,13.56,170250,24668.6,24800.0
2025-08-01 13:45:00,413.35,431.25,413.35,431.25,3225,13.76,170100,24643.85,24800.0
2025-08-01 14:00:00,431.25,434.0,421.1,423.75,11100,13.65,176775,24651.75,24800.0
2025-08-01 14:15:00,425.0,438.9,397.65,438.9,4950,13.78,178350,24628.45,24800.0
2025-08-01 14:30:00,436.0,436.0,397.65,397.65,4425,13.19,9225,24619.6,24750.0
2025-08-01 14:45:00,397.65,434.5,397.65,404.25,2400,13.27,9525,24613.8,24750.0
2025-08-01 15:00:00,404.25,433.7,404.25,425.0,6825,13.66,103950,24545.65,24700.0
2025-08-01 15:15:00,424.0,430.5,421.2,422.75,6975,13.87,104175,24572.15,24700.0
2025-08-04 09:15:00,434.0,434.0,405.7,408.85,5400,13.46,183150,24660.5,24800.0
2025-08-04 09:30:00,406.05,415.05,395.0,395.0,6975,12.98,9750,24598.0,24900.0
2025-08-04 09:45:00,395.0,427.0,395.0,408.95,2700,13.46,10950,24608.1,24900.0
2025-08-04 10:00:00,408.95,431.75,408.95,408.95,900,13.63,10950,24624.3,24900.0
2025-08-04 10:15:00,427.1,427.1,408.95,408.95,2100,13.58,10950,24618.5,24900.0
2025-08-04 10:30:00,434.9,434.9,419.6,419.6,1800,13.55,187125,24641.65,24800.0
2025-08-04 10:45:00,421.0,438.0,408.95,425.05,450,13.52,187500,24625.25,24800.0
2025-08-04 11:00:00,425.05,425.05,408.0,414.2,3375,13.66,188100,24664.35,24800.0
2025-08-04 11:15:00,414.2,445.0,401.65,405.1,1725,13.44,188775,24666.45,24800.0
2025-08-04 11:30:00,445.0,445.0,400.0,403.8,1950,13.43,190575,24669.35,24800.0
2025-08-04 11:45:00,403.8,431.75,399.0,431.75,900,13.71,7575,24679.45,24850.0
