datetime,open,high,low,close,volume,iv,oi,spot,strike
2026-03-11 09:15:00,98.3,113.45,84.15,111.7,8593715,24.94382,1309295,24116.5,23600.0
2026-03-11 10:15:00,112.1,125.0,105.5,112.7,4877340,25.288056,517530,24071.4,23550.0
2026-03-11 11:15:00,112.3,150.7,112.3,131.25,10171460,27.042724,3773380,24011.6,23500.0
2026-03-11 12:15:00,131.2,146.15,122.55,142.9,5582980,27.5115,616655,23929.65,23450.0
2026-03-11 13:15:00,143.8,153.95,132.05,141.0,2839980,27.675479,621465,23939.95,23450.0
2026-03-11 14:15:00,140.45,148.85,120.6,120.65,4062175,26.390763,445185,23861.9,23350.0
2026-03-11 15:15:00,120.4,132.0,117.75,131.75,603135,27.18905,430235,23848.2,23350.0
2026-03-12 09:15:00,93.0,138.0,93.0,114.0,5941325,27.607354,1507025,23610.15,23100.0
2026-03-12 10:15:00,114.85,121.15,98.3,103.75,4483895,25.878853,854555,23741.05,23250.0
2026-03-12 11:15:00,103.15,112.5,90.6,95.75,3306810,25.272976,815425,23749.35,23250.0
2026-03-12 12:15:00,95.5,100.35,82.95,85.4,2985320,24.599337,2217215,23715.25,23200.0
2026-03-12 13:15:00,86.1,93.0,81.5,86.55,4714450,24.099414,870350,23738.9,23250.0
2026-03-12 14:15:00,87.5,99.7,79.15,93.05,4010370,24.929148,795730,23633.9,23150.0
2026-03-12 15:15:00,93.15,97.75,90.2,93.1,732615,25.102415,697385,23639.35,23150.0
2026-03-13 09:15:00,82.45,94.85,68.15,86.05,10999820,26.214953,1121965,23329.8,22850.0
2026-03-13 10:15:00,86.2,91.3,73.2,75.7,6195215,26.170627,5080010,23321.65,22800.0
2026-03-13 11:15:00,75.85,87.75,73.65,82.0,8628295,26.090835,1455610,23336.15,22850.0
2026-03-13 12:15:00,81.8,101.7,73.1,97.1,13610545,28.072072,2462460,23175.7,22700.0
2026-03-13 13:15:00,87.3,102.55,85.4,89.3,11099595,27.946978,2904330,23201.85,22700.0
2026-03-13 14:15:00,89.4,99.1,80.75,82.4,11786255,27.501787,1170975,23162.55,22650.0
2026-03-13 15:15:00,82.55,88.75,79.1,83.7,1898975,27.958563,955695,23170.9,22650.0
2026-03-16 09:15:00,89.9,89.9,28.9,38.5,20618390,34.388345,1729910,23155.2,22650.0
2026-03-16 10:15:00,38.8,52.45,33.2,39.8,23718045,34.770599,3182205,23092.35,22600.0
2026-03-16 11:15:00,40.05,46.85,36.8,38.75,16197545,35.820722,2237625,23162.85,22650.0
2026-03-16 12:15:00,38.8,45.65,30.15,33.9,13779480,35.070767,3573375,23116.8,22600.0
2026-03-16 13:15:00,39.4,42.2,29.05,32.1,12406940,34.421858,2036710,23155.3,22650.0
2026-03-16 14:15:00,32.05,47.05,29.1,37.3,29949790,35.312384,2706145,23435.25,22950.0
2026-03-16 15:15:00,32.35,40.25,25.8,26.15,8012160,32.724595,2272595,23355.6,22850.0
2026-03-17 09:15:00,7.7,7.7,2.55,3.45,77465050,32.048186,5282355,23525.85,23050.0
2026-03-17 10:15:00,3.45,3.45,1.75,1.85,61563450,32.889754,5074615,23471.45,22950.0
2026-03-17 11:15:00,1.8,2.7,1.0,1.35,62621845,31.183684,5115110,23435.15,22950.0
2026-03-17 12:15:00,1.0,1.5,0.75,1.0,46664475,31.501122,5913505,23532.95,23050.0
2026-03-17 13:15:00,1.0,1.2,0.6,0.7,33647640,33.098701,9867585,23600.0,23100.0
2026-03-17 14:15:00,0.75,0.75,0.05,0.1,43521140,29.450145,6939205,23607.05,23100.0
2026-03-17 15:15:00,0.1,0.15,0.05,0.05,3953885,28.488851,2959645,23558.8,23050.0
